,Unnamed: 0,Position,Track Name,Artist,Streams,date,region,spotify_id,featured-artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,release_date
2841,2841,42,On My Way,Alan Walker,11307170,2019-04-12--2019-04-19,global,4n7jnSxVLd8QioibtTDBDq,"Sabrina Carpenter, Farruko",0.0209,0.509,0.6890000000000001,0.0,0.301,-4.928999999999999,0.102,170.08700000000002,0.297,80,2019-03-21
10062,10062,63,Step Into Christmas,Elton John,11289162,2019-12-20--2019-12-27,global,6sBWmE23q6xQHlnEZ8jYPT,,0.102,0.526,0.925,8.900000000000001e-06,0.305,-5.584,0.0363,140.308,0.8190000000000001,55,1973-10-05
2239,2239,40,Cherry Lady,Capital Bra,11248444,2019-03-22--2019-03-29,global,3r1cV21xPMkgCmxk8VqWOB,,0.877,0.838,0.5489999999999999,0.000964,0.115,-7.145,0.0755,114.445,0.654,9,2019-03-22
9036,9036,37,Lose Control,MEDUZA,11229576,2019-11-15--2019-11-22,global,7CHi4DtfK4heMlQaudCuHK,"Becky Hill, Goodboys",0.129,0.598,0.526,0.0,0.14,-8.658999999999999,0.0415,123.935,0.529,90,2019-10-11
3233,3233,34,Earth,Lil Dicky,11205066,2019-04-26--2019-05-03,global,2S1LebN6AXXQqJolBxlWgO,,0.639,0.6940000000000001,0.664,0.0,0.0929,-4.649,0.05,95.941,0.6759999999999999,73,2019-04-18
4637,4637,38,"Go Loko (feat. Tyga, Jon Z)",YG,11201316,2019-06-14--2019-06-21,global,1kK6DwzyXJSp58u5HYWwuD,"Tyga, Jon Z",0.325,0.88,0.67,4.17e-06,0.0662,-5.1770000000000005,0.0468,101.008,0.131,70,2019-05-24
8442,8442,43,Hands On,Kanye West,11183853,2019-10-25--2019-11-01,global,7r6aR2f57resC5r93LwMfK,Fred Hammond,0.5579999999999999,0.514,0.39299999999999996,0.0,0.282,-8.72,0.529,78.039,0.598,64,2019-10-25
233,233,34,In My Mind,Dynoro,11134092,2019-01-11--2019-01-18,global,0E9ZjEAyAwOXZ7wJC0PD33,Gigi D'Agostino,0.17600000000000002,0.6940000000000001,0.77,1.1e-05,0.11800000000000001,-5.335,0.149,125.905,0.163,83,2018-06-08
234,234,35,Ella Quiere Beber - Remix,Anuel AA,11131112,2019-01-11--2019-01-18,global,2cYnZNzFRFK0H7vSNxPsUq,Romeo Santos,0.265,0.7509999999999999,0.665,0.0,0.0515,-3.083,0.124,95.23899999999999,0.698,16,2018-11-02
10064,10064,65,Christmas (Baby Please Come Home),Mariah Carey,11098239,2019-12-20--2019-12-27,global,3PIDciSFdrQxSQSihim3hN,,0.022000000000000002,0.5660000000000001,0.782,0.0,0.109,-7.444,0.0311,127.16,0.6970000000000001,56,1994-11-01
4240,4240,41,Find U Again (feat. Camila Cabello),Mark Ronson,11081625,2019-05-31--2019-06-07,global,1HpzOCZbNWzxvvXfSGtSrX,Camila Cabello,0.00548,0.605,0.664,3e-06,0.204,-7.162000000000001,0.0316,103.99700000000001,0.16399999999999998,72,2019-05-30
6231,6231,32,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,11079662,2019-08-09--2019-08-16,global,5N1o6d8zGcSZSeMFkOUQOk,"Ty Dolla $ign, Nicki Minaj",0.00485,0.872,0.8140000000000001,1.96e-06,0.214,-4.5680000000000005,0.155,98.985,0.57,76,2019-08-09
235,235,36,Leave Me Alone,Flipp Dinero,11045665,2019-01-11--2019-01-18,global,14mHfNsSHN0FbLftyjrV9g,,0.107,0.792,0.743,0.0,0.183,-2.806,0.0851,150.024,0.742,76,2018-09-04
1437,1437,38,Pure Water (with Migos),Mustard,11041777,2019-02-22--2019-03-01,global,63cd4JkwGgYJrbOizbfmsp,Migos,0.172,0.68,0.5589999999999999,0.0,0.318,-5.545,0.129,202.00599999999997,0.13699999999999998,19,2019-01-16
3640,3640,41,So Am I,Ava Max,11011053,2019-05-10--2019-05-17,global,0uUNN1nSoUx1A4fkDCWDQ7,,0.0737,0.682,0.6559999999999999,0.0,0.353,-4.67,0.0435,130.089,0.607,81,2019-03-07
9645,9645,46,Hate Me (with Juice WRLD),Ellie Goulding,11007915,2019-12-06--2019-12-13,global,6kls8cSlUyHW2BUOkDJIZE,Juice WRLD,0.10800000000000001,0.657,0.768,0.0,0.14400000000000002,-4.628,0.0507,75.025,0.759,85,2019-06-26
